,Game,Platform,Gener,Publisher,North_America,Europe,Japan,Rest_of _World,Global,Good_Sale,Count_Games
0, Beyblade Burst,3DS,Role-Playing,FuRyu,0.0,0.0,0.03,0.0,0.03,0,25
1, Fire Emblem Fates,3DS,Role-Playing,Nintendo,0.81,0.23,0.52,0.11,1.68,0,665
2, Frozen: Olaf's Quest,3DS,Platform,Disney Interactive Studios,0.48,0.53,0.0,0.09,1.12,1,110
3, Haikyu!! Cross Team Match!,3DS,Adventure,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,0,765
4, Tales of Xillia 2,PS3,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,0,765
5,'98 Koshien,PS,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,1,1
6,.hack//G.U. Vol.1//Rebirth,PS2,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,0,765
7,.hack//G.U. Vol.2//Reminisce,PS2,Role-Playing,Namco Bandai Games,0.11,0.09,0.0,0.03,0.23,0,765
8,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,0,765
9,.hack//G.U. Vol.3//Redemption,PS2,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,0,765
10,.hack//Infection Part 1,PS2,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,0,277
11,.hack//Link,PSP,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,0,765
12,.hack//Mutation Part 2,PS2,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,0,277
13,.hack//Outbreak Part 3,PS2,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,0,277
14,.hack//Quarantine Part 4: The Final Chapter,PS2,Role-Playing,Atari,0.09,0.07,0.0,0.02,0.18,0,277
15,.hack: Sekai no Mukou ni + Versus,PS3,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,0,765
16,007 Racing,PS,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,0,598
17,007: Quantum of Solace,X360,Action,Activision,1.8299999999999998,1.32,0.04,0.67,3.86,2,401
18,007: The World is not Enough,N64,Action,Electronic Arts,1.64,0.73,0.02,0.09,2.47,1,598
19,007: Tomorrow Never Dies,PS,Shooter,Electronic Arts,1.72,1.33,0.0,0.16,3.21,2,598
20,1 vs. 100,DS,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,0,5
21,1/2 Summer +,PSP,Adventure,Kaga Create,0.0,0.0,0.01,0.0,0.01,0,5
22,10 Minute Solution,Wii,Sports,Activision,0.06,0.01,0.0,0.01,0.08,0,401
23,100 All-Time Favorites,DS,Puzzle,Ubisoft,0.35,0.12,0.0,0.04,0.51,0,564
24,100 Classic Books,DS,Misc,Nintendo,0.12,0.52,0.0,0.02,0.66,0,665
25,100 Classic Games,DS,Misc,Rondomedia,0.0,0.03,0.0,0.0,0.04,0,13
26,1000 Cooking Recipes from ELLE à table,DS,Misc,Nintendo,0.0,0.02,0.0,0.0,0.03,0,665
27,1001 Touch Games,DS,Action,Avanquest,0.11,0.16,0.0,0.04,0.31,1,26
28,101-in-1 Explosive Megamix,DS,Puzzle,Nordcurrent,0.05,0.12,0.0,0.02,0.19,0,5
29,101-in-1 Party Megamix Wii,Wii,Misc,Nordcurrent,0.19,0.01,0.0,0.02,0.22,0,5
30,101-in-1 Sports Megamix,DS,Sports,Nordcurrent,0.08,0.0,0.0,0.01,0.08,0,5
31,101-in-1 Sports Party Megamix,Wii,Sports,Nordcurrent,0.02,0.0,0.0,0.0,0.03,0,5
32,1080°: TenEighty Snowboarding,N64,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,1,665
33,11eyes: CrossOver,X360,Adventure,5pb,0.0,0.0,0.04,0.0,0.04,0,47
34,12-Sai. Honto no Kimochi,3DS,Adventure,Happinet,0.0,0.0,0.07,0.0,0.07,0,5
35,12-Sai. Koisuru Diary,3DS,Adventure,Happinet,0.0,0.0,0.05,0.0,0.05,0,5
36,12Riven: The Psi-Climinal of Integral,PS2,Adventure,CyberFront,0.0,0.0,0.04,0.0,0.04,0,13
37,15 Days,PC,Adventure,DTP Entertainment,0.0,0.01,0.0,0.0,0.01,0,33
38,1701 A.D.,PC,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,0,69
39,18 Wheeler: American Pro Trucker,PS2,Racing,Acclaim Entertainment,0.29000000000000004,0.16999999999999998,0.0,0.05,0.51,0,114
40,18 Wheels of Steel: Extreme Trucker,PC,Racing,Rondomedia,0.0,0.02,0.0,0.0,0.02,0,13
41,18 Wheels of Steel: Extreme Trucker 2,PC,Racing,Rondomedia,0.08,0.02,0.0,0.01,0.11,0,13
42,187: Ride or Die,PS2,Racing,Ubisoft,0.12000000000000001,0.06999999999999999,0.0,0.02,0.21,0,564
43,1942,NES,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0,0,266
44,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,Racing,THQ,0.09,0.03,0.0,0.0,0.12,0,394
45,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,Action,THQ,1.26,0.47,0.0,0.03,1.76,0,394
46,2 Games in 1: Disney Princess & The Lion King,GBA,Misc,THQ,1.25,0.46,0.0,0.03,1.75,0,394
47,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,Action,THQ,0.22,0.08,0.0,0.01,0.31,0,394
48,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,Misc,THQ,1.31,0.49,0.0,0.03,1.83,0,394
49,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,Misc,THQ,0.44,0.16,0.0,0.01,0.61,0,394
50,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Misc,Sega,0.04,0.02,0.0,0.0,0.06,0,469
51,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,Platform,THQ,0.33,0.12,0.0,0.01,0.45,0,394
52,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Misc,Sega,0.49,0.12,0.0,0.03,0.65,0,469
53,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,Platform,Activision,0.06,0.02,0.0,0.0,0.09,0,401
54,2002 FIFA World Cup,PS2,Sports,Electronic Arts,0.39,0.22,0.16,0.06999999999999999,0.83,0,598
55,2010 FIFA World Cup South Africa,PS3,Sports,Electronic Arts,0.94,1.43,0.13,0.47,2.96,1,598
56,2014 FIFA World Cup Brazil,PS3,Sports,Electronic Arts,0.3,0.61,0.01,0.12,1.03,0,598
57,24: The Game,PS2,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,0,617
58,25 to Life,PS2,Shooter,Eidos Interactive,0.47,0.05,0.0,0.06999999999999999,0.59,0,121
59,2Xtreme,PS,Sports,Sony Computer Entertainment,1.15,0.2,0.0,0.05,1.4,0,617
60,"3 in 1: Solitaire, Mahjong & Tangram",DS,Misc,Deep Silver,0.0,0.07,0.0,0.01,0.07,0,69
61,300: March to Glory,PSP,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41,0,75
62,3D Baseball,PS,Sports,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,0,7
63,3D Dot Game Heroes,PS3,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,1,30
64,3D Lemmings,PS,Puzzle,Psygnosis,0.03,0.02,0.0,0.0,0.06,0,31
65,3D Tank Warfare Simulator Panzer Front,PS,Simulation,Avalon Interactive,0.06,0.04,0.0,0.01,0.1,0,4
66,3DS Classic Collection,3DS,Misc,Sega,0.03,0.0,0.0,0.0,0.03,0,469
67,3Xtreme,PS,Action,989 Studios,0.5,0.34,0.0,0.06,0.9,1,14
68,3rd Super Robot Wars Z Jigoku Hen,PS3,Role-Playing,Namco Bandai Games,0.0,0.0,0.42000000000000004,0.0,0.42000000000000004,0,765
69,3rd Super Robot Wars Z: Tengoku-Hen,PSV,Action,Namco Bandai Games,0.0,0.0,0.33999999999999997,0.0,0.33999999999999997,0,765
70,4 Elements,PC,Puzzle,Mastertronic,0.0,0.04,0.0,0.01,0.05,0,12
71,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,Misc,Atari,0.1,0.0,0.0,0.01,0.11,0,277
72,4 Nin uchi Mahjong,NES,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45,0,665
73,4 Play Collection - Dark Mysteries,PC,Misc,Avanquest Software,0.0,0.01,0.0,0.0,0.02,0,5
74,40 Winks,PS,Platform,GT Interactive,0.17,0.12,0.0,0.02,0.31,1,37
75,428: Fuusa Sareta Shibuya de,Wii,Adventure,Sega,0.0,0.0,0.19,0.0,0.19,0,469
76,4x4 EVO 2,XB,Racing,Gathering of Developers,0.29,0.08,0.0,0.01,0.38,1,7
77,4x4 Evolution,PS2,Racing,Gathering of Developers,0.16,0.12,0.0,0.04,0.32,1,7
78,50 Cent: Blood on the Sand,X360,Shooter,THQ,0.22,0.13,0.01,0.05,0.4,0,394
79,50 Cent: Bulletproof,PS2,Action,Vivendi Games,1.26,0.86,0.0,0.19,2.29,2,86
80,50 Classic Games,DS,Misc,Destineer,0.5,0.01,0.0,0.04,0.55,1,37
81,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,0,765
82,7 Days to Die,PS4,Action,Telltale Games,0.07,0.1,0.0,0.02,0.19,0,6
83,7 Roses: A Darkness Rises,PC,Misc,Avanquest Software,0.0,0.02,0.0,0.0,0.02,0,5
84,7 Wonders II,DS,Puzzle,Rondomedia,0.13,0.15,0.0,0.03,0.31,1,13
85,7 Wonders of the Ancient World,DS,Puzzle,Funsta,0.17,0.01,0.0,0.02,0.21000000000000002,0,3
86,7 Wonders: Treasures of Seven,DS,Puzzle,Avanquest,0.01,0.02,0.0,0.0,0.03,0,26
87,7'scarlet,PSV,Adventure,Idea Factory,0.0,0.0,0.01,0.0,0.01,0,131
88,7th Dragon,DS,Role-Playing,Sega,0.0,0.0,0.14,0.0,0.14,0,469
89,7th Dragon 2020,PSP,Role-Playing,Sega,0.0,0.0,0.2,0.0,0.2,0,469
90,7th Dragon 2020-II,PSP,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,0,469
91,7th Dragon III Code: VFD,3DS,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,0,469
92,99 no Namida,DS,Adventure,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,0,765
93,"999: Nine Hours, Nine Persons, Nine Doors",DS,Adventure,ChunSoft,0.31,0.0,0.03,0.02,0.36,1,15
94,A Boy and His Blob,Wii,Platform,Majesco Entertainment,0.18,0.01,0.0,0.01,0.21,0,81
95,A Bug's Life,PS,Platform,Sony Computer Entertainment,2.45,0.85,0.0,0.12,3.42,2,617
96,A Collection of Activision Classic Games for the Atari 2600,PS,Misc,Activision,0.76,0.52,0.0,0.09,1.37,0,401
97,A Collection of Classic Games from the Intellivision,PS,Misc,Activision,0.17,0.12,0.0,0.02,0.31,0,401
98,A Game of Thrones: Genesis,PC,Strategy,Focus Home Interactive,0.0,0.03,0.0,0.01,0.03,0,40
99,A Good Librarian Like a Good Shepherd: Library Party,PSV,Action,Kaga Create,0.0,0.0,0.03,0.0,0.03,0,5
100,A New Beginning,PC,Adventure,Deep Silver,0.0,0.05,0.0,0.01,0.06,0,69
101,A Ressha de Gyoukou 2001,PS2,Simulation,ArtDink,0.0,0.0,0.03,0.0,0.03,0,9
102,A Ressha de Ikou DS,DS,Simulation,ArtDink,0.0,0.0,0.04,0.0,0.04,0,9
103,A Vampyre Story,PC,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02,0,2
104,A Witch's Tale,DS,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,0,86
105,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,Simulation,Pack-In-Video,0.0,0.0,0.06,0.0,0.06,0,2
106,A-Train,PS,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08,0,617
107,A-Train 6,PS2,Strategy,Midas Interactive Entertainment,0.0,0.0,0.06,0.0,0.06,0,22
108,A-Train: City Simulator,3DS,Simulation,ArtDink,0.0,0.0,0.06,0.0,0.06,0,9
109,A. IV Evolution: A Ressha de Ikou 4,PS,Strategy,ArtDink,0.0,0.0,0.24,0.02,0.25,0,9
110,A.C.E.: Another Century's Episode,PS2,Simulation,Banpresto,0.0,0.0,0.26,0.0,0.26,0,71
111,A.C.E.: Another Century's Episode 2,PS2,Simulation,Banpresto,0.0,0.0,0.18,0.0,0.18,0,71
112,A.C.E.: Another Century's Episode 3: The Final,PS2,Simulation,Banpresto,0.0,0.0,0.26,0.0,0.26,0,71
113,A.C.E.: Another Century's Episode Portable,PSP,Simulation,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0,765
114,A.C.E.: Another Century's Episode R,PS3,Simulation,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,0,765
115,ABBA: You Can Dance,Wii,Misc,Ubisoft,0.18,0.49,0.0,0.1,0.77,0,564
116,AC/DC LIVE: Rock Band Track Pack,Wii,Misc,MTV Games,0.74,0.06999999999999999,0.0,0.08,0.9,1,12
117,AIR,PSP,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02,0,21
118,AKB1/149: Love Election,PSP,Adventure,Namco Bandai Games,0.0,0.0,0.38,0.0,0.38,0,765
119,AKB1/48: Idol to Guam de Koishitara...,PSP,Misc,Namco Bandai Games,0.0,0.0,0.4,0.0,0.4,0,765
120,AKB1/48: Idol to Koishitara...,PSP,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,0,765
121,AKB48+Me,3DS,Action,Unknown,0.0,0.0,0.11,0.0,0.11,0,148
122,AMF Bowling 2004,XB,Sports,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3,1,2
123,AMF Bowling Pinbusters!,Wii,Sports,Bethesda Softworks,0.8999999999999999,0.0,0.0,0.07,0.98,1,30
124,AMF Bowling World Lanes,Wii,Sports,Bethesda Softworks,0.33,0.0,0.0,0.03,0.35,1,30
125,AMF Xtreme Bowling,PS2,Sports,Mastertronic,0.01,0.01,0.0,0.0,0.02,0,12
126,AMNESIA World,PSV,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,0,131
127,APB Reloaded,PC,Role-Playing,Iceberg Interactive,0.02,0.01,0.0,0.0,0.04,0,3
128,ASH: Archaic Sealed Heat,DS,Role-Playing,Nintendo,0.0,0.0,0.12,0.0,0.12,0,665
129,ATV Offroad Fury,PS2,Racing,Sony Computer Entertainment,2.07,0.26,0.0,0.08,2.41,1,617
130,ATV Offroad Fury 2,PS2,Racing,THQ,1.92,0.2,0.0,0.06,2.18,1,394
131,ATV Offroad Fury 3,PS2,Racing,SouthPeak Games,1.0,0.04,0.0,0.16,1.2,2,30
132,ATV Offroad Fury Pro,PSP,Racing,Sony Computer Entertainment,0.37,0.03,0.0,0.04,0.45,0,617
133,ATV Offroad Fury: Blazin' Trails,PSP,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,1,30
134,ATV Quad Kings,Wii,Racing,Zoo Digital Publishing,0.30000000000000004,0.0,0.0,0.02,0.33,0,73
135,ATV Quad Power Racing 2,PS2,Racing,Acclaim Entertainment,0.99,0.45,0.0,0.13,1.57,1,114
136,ATV/Monster Truck Mayhem,DS,Racing,"Destination Software, Inc",0.33,0.0,0.0,0.02,0.36,1,10
137,ATV: Quad Frenzy,DS,Racing,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11,0,81
138,ATV: Quad Power Racing,PS,Racing,Acclaim Entertainment,0.76,0.46,0.0,0.07,1.3,1,114
139,Aa Megami-samaa,PS2,Adventure,Marvelous Interactive,0.0,0.0,0.01,0.0,0.01,0,51
140,Abunai: Koi no Sousa Shitsu,PSV,Action,Asgard,0.0,0.0,0.03,0.0,0.03,0,8
141,Academy of Champions: Soccer,Wii,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,0,564
142,Accel World: Ginyoku no Kakusei,PS3,Adventure,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,0,765
143,Accel World: Kasoku no Chouten,PS3,Adventure,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,0,765
144,Ace Attorney 6,3DS,Adventure,Capcom,0.0,0.0,0.27,0.0,0.27,0,266
145,Ace Attorney Investigations 2,DS,Adventure,Capcom,0.0,0.0,0.26,0.0,0.26,0,266
146,Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,0,266
147,Ace Combat 04: Shattered Skies,PS2,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,2,11
148,Ace Combat 2,PS,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,0,617
149,Ace Combat 3: Electrosphere,PS,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,0,617
150,Ace Combat 5: The Unsung War,PS2,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,2,11
151,Ace Combat 6: Fires of Liberation,X360,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,0,277
152,Ace Combat X: Skies of Deception,PSP,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,0,765
153,Ace Combat Zero: The Belkan War,PS2,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,0,765
154,Ace Combat: Assault Horizon,PS3,Action,Namco Bandai Games,0.6,0.27,0.25,0.11000000000000001,1.23,0,765
155,Ace Combat: Assault Horizon Legacy,3DS,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,0,765
156,Ace Combat: Joint Assault,PSP,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,0,765
157,Achtung Panzer: Kharkov 1943,PC,Strategy,Mamba Games,0.0,0.01,0.0,0.0,0.02,0,2
158,Act of Aggression,PC,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,0,40
159,Action Bass,PS,Action,Take-Two Interactive,0.64,0.43,0.0,0.07,1.14,0,194
160,Action Force,2600,Action,CPG Products,0.5,0.03,0.0,0.01,0.54,1,1
161,Active Health with Carol Vorderman,DS,Sports,Nintendo,0.0,0.18,0.0,0.01,0.18,0,665
162,Active Life Explorer,Wii,Sports,Namco Bandai Games,0.13,0.0,0.0,0.01,0.14,0,765
163,Active Life: Extreme Challenge,Wii,Sports,Namco Bandai Games,0.14,0.27,0.0,0.06,0.47,0,765
164,Active Life: Magical Carnival,Wii,Misc,Namco Bandai Games,0.03,0.01,0.0,0.0,0.04,0,765
165,Active Life: Outdoor Challenge,Wii,Sports,Atari,0.78,0.43,0.19,0.14,1.54,0,277
166,Activision Anthology,PS2,Misc,Activision,0.28,0.2,0.0,0.06,0.55,0,401
167,Activision Hits: Remixed,PSP,Misc,Activision,0.05,0.0,0.0,0.0,0.05,0,401
168,Actua Tennis,PS,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13,0,9
169,Adidas Power Soccer,PS,Sports,Psygnosis,0.02,0.01,0.0,0.0,0.04,0,31
170,Adidas Power Soccer 98,PS,Sports,Psygnosis,0.01,0.01,0.0,0.0,0.02,0,31
171,Adrenalin Misfits,X360,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01,0.14,0,637
172,Advance Guardian Heroes,GBA,Role-Playing,Ubisoft,0.03,0.01,0.0,0.0,0.04,0,564
173,Advance Wars,GBA,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,0,665
174,Advance Wars 2: Black Hole Rising,GBA,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65,0,665
175,Advance Wars: Days of Ruin,DS,Strategy,Nintendo,0.43,0.12,0.0,0.05,0.61,0,665
176,Advance Wars: Dual Strike,DS,Strategy,Nintendo,0.3,0.02,0.04,0.03,0.39,0,665
177,Advent Rising,XB,Action,THQ,0.1,0.03,0.0,0.0,0.13,0,394
178,Adventure,2600,Adventure,Atari,1.21,0.08,0.0,0.01,1.3,0,277
179,Adventure Island,NES,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,1,76
180,Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,Action,D3Publisher,0.17,0.09,0.0,0.03,0.32,0,131
181,Adventure Time: Finn & Jake Investigations,PS4,Action,Little Orbit,0.16999999999999998,0.24000000000000002,0.0,0.05,0.44,1,8
182,Adventure Time: The Secret of the Nameless ,3DS,Adventure,Little Orbit,0.02,0.0,0.0,0.0,0.03,0,8
183,Adventure Time: The Secret of the Nameless Kingdom,3DS,Action,Little Orbit,0.0,0.12000000000000001,0.0,0.0,0.14,0,8
184,Adventures of Lolo,NES,Puzzle,HAL Laboratory,0.06,0.0,0.0,0.0,0.06,0,1
185,Adventures of Tron,2600,Action,Mattel Interactive,0.63,0.03,0.0,0.01,0.67,1,12
186,Adventures to Go!,PSP,Role-Playing,Zushi Games,0.11,0.0,0.01,0.02,0.13,0,14
187,Aedis Eclipse: Generation of Chaos,PSP,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0,0.02,0,131
188,Aegis of Earth: Protonovus Assault,PSV,Action,PQube,0.04,0.02,0.0,0.01,0.08,0,24
189,Aeon Flux,PS2,Action,THQ,0.03,0.02,0.0,0.01,0.05,0,394
190,Aero Elite: Combat Academy,PS2,Simulation,Sega,0.04,0.03,0.0,0.01,0.07,0,469
191,Aero Gauge,N64,Racing,ASCII Entertainment,0.06,0.01,0.0,0.0,0.07,0,19
192,AeroFighters Assault,N64,Action,Video System,0.15,0.04,0.0,0.0,0.19,0,4
193,Afrika,PS3,Adventure,Unknown,0.12,0.0,0.08,0.01,0.22,0,148
194,Afro Samurai,X360,Action,Atari,0.28,0.1,0.0,0.05,0.44,0,277
195,After Hours Athletes,PS3,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.02,0.12,0,617
196,Again,DS,Adventure,Ackkstudios,0.07,0.0,0.0,0.0,0.07,0,8
197,Agarest Senki: Re-appearance,PS3,Role-Playing,Idea Factory,0.0,0.0,0.01,0.0,0.01,0,131
198,Agassi Tennis Generation,PS2,Sports,DreamCatcher Interactive,0.04,0.03,0.0,0.01,0.09,0,15
199,Agatha Christie's The ABC Murders,PS4,Adventure,Microids,0.02,0.01,0.0,0.0,0.04,0,6
200,Agatha Christie: And Then There Were None,Wii,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.07,0,4
201,Agatha Christie: Death on the Nile,PC,Adventure,Big Fish Games,0.0,0.01,0.0,0.0,0.02,0,2
202,Agatha Christie: Evil Under the Sun,Wii,Adventure,The Adventure Company,0.06,0.01,0.0,0.01,0.08,0,4
203,Agatha Christie: Peril at End House,PC,Adventure,JoWood Productions,0.0,0.01,0.0,0.0,0.01,0,16
204,Agatha Christie: The ABC Murders,DS,Adventure,JoWood Productions,0.08,0.03,0.0,0.01,0.12000000000000001,0,16
205,Age of Conan: Rise of the Godslayer,PC,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03,0,2
206,Age of Empires II: The Age of Kings,PC,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.01,0.09,0,178
207,Age of Empires III,PC,Strategy,Microsoft Game Studios,0.0,0.33,0.0,0.05,0.38,0,178
208,Age of Empires III: Complete Collection,PC,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.03,0.17,0,178
209,Age of Empires III: Gold Edition,PC,Strategy,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.03,0,178
210,Age of Empires III: The Asian Dynasties,PC,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,0,178
211,Age of Empires Online,PC,Strategy,Microsoft Game Studios,0.01,0.04,0.0,0.01,0.06,0,178
212,Age of Empires: Collector's Edition,PC,Strategy,Ubisoft,0.02,0.1,0.0,0.02,0.14,0,564
213,Age of Empires: Mythologies,DS,Strategy,THQ,0.16,0.03,0.0,0.02,0.21,0,394
214,Age of Empires: The Age of Kings,DS,Strategy,THQ,0.18,0.02,0.0,0.02,0.22,0,394
215,Age of Mythology,PC,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09,0,178
216,Age of Mythology: The Titans,PC,Strategy,Microsoft Game Studios,0.02,0.02,0.0,0.0,0.04,0,178
217,Aggressive Inline,PS2,Sports,Acclaim Entertainment,0.26,0.15,0.0,0.04,0.47,0,114
218,Agile Warrior F-111X,PS,Simulation,Virgin Interactive,0.08,0.05,0.0,0.01,0.14,0,52
219,Aibou DS,DS,Adventure,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,0,249
220,Aidyn Chronicles: The First Mage,N64,Role-Playing,THQ,0.08,0.02,0.0,0.0,0.1,0,394
221,Aikatsu Stars! My Special Appeal,3DS,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,0,765
222,Aikatsu! 2-nin no My Princess,3DS,Action,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,0,765
223,Aikatsu! 365 Idol Days,3DS,Adventure,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,0,765
224,Aikatsu! Cinderella Lesson,3DS,Role-Playing,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2,0,765
225,Aikatsu! My No.1 Stage!,3DS,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08,0,765
226,Ailu de Puzzle,PSP,Action,Capcom,0.0,0.0,0.04,0.0,0.04,0,266
227,Air Combat,PS,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83,0,617
228,Air Conflicts: Aces of World War II,PSP,Simulation,Graffiti,0.05,0.0,0.0,0.0,0.05,0,5
229,Air Conflicts: Secret Wars,PS3,Simulation,bitComposer Games,0.16,0.1,0.0,0.05,0.3,1,3
230,Air Raid,2600,Action,Men-A-Vision,0.72,0.04,0.0,0.01,0.77,1,1
231,Air Traffic Chaos,DS,Simulation,Ertain,0.05,0.0,0.0,0.0,0.05,0,1
232,Air-Sea Battle,2600,Shooter,Atari,0.91,0.06,0.0,0.01,0.98,0,277
233,AirForce Delta Storm,XB,Shooter,Konami Digital Entertainment,0.16,0.05,0.0,0.01,0.19999999999999998,0,637
234,AirForce Delta Strike,PS2,Simulation,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.11,0,637
235,Airblade,PS2,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,0,617
236,Airborne Troops: Countdown to D-Day,PS2,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,0,10
237,Airline Tycoon,PC,Simulation,Interplay,0.0,0.01,0.0,0.0,0.02,0,30
238,Airline Tycoon 2,PC,Simulation,Kalypso Media,0.0,0.04,0.0,0.01,0.05,0,22
239,Airlock,2600,Action,Data Age,0.36,0.02,0.0,0.0,0.39,1,2
240,Airport Simulator,PC,Simulation,Unknown,0.0,0.02,0.0,0.0,0.02,0,148
241,Airship Q,PSV,Platform,Cygames,0.0,0.0,0.03,0.0,0.03,0,1
242,Aiyoku no Eustia,PSV,Misc,dramatic create,0.0,0.0,0.01,0.0,0.01,0,6
243,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,Adventure,Marvelous Interactive,0.0,0.0,0.06,0.0,0.06,0,51
244,Akai Ito DS,DS,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02,0,43
245,Akai Katana Shin,X360,Shooter,Cave,0.04,0.0,0.01,0.0,0.06,0,10
246,Akane Iro ni Somaru Saka Parallel,PS2,Adventure,GN Software,0.0,0.0,0.03,0.0,0.03,0,3
