,Game,Platform,Gener,Publisher,North_America,Europe,Japan,Rest_of _World,Global,Good_Sale,Count_Games
11127,WordJong,DS,Puzzle,White Park Bay Software,0.13,0.01,0.0,0.01,0.15,0,1
11128,WordJong Party,Wii,Puzzle,Destineer,0.16,0.0,0.0,0.01,0.17,0,37
11129,Wordfish,DS,Puzzle,Ubisoft,0.07,0.0,0.0,0.01,0.08,0,564
11130,Wordmaster,DS,Strategy,Zoo Digital Publishing,0.09,0.0,0.0,0.01,0.09,0,73
11131,World Championship Athletics,Wii,Sports,DTP Entertainment,0.04,0.01,0.0,0.0,0.06,0,33
11132,World Championship Cards,PSP,Misc,Crave Entertainment,0.19,0.0,0.0,0.02,0.2,0,36
11133,World Championship Games: A Track & Field Event,DS,Sports,Ghostlight,0.08,0.0,0.0,0.01,0.09,0,13
11134,World Championship Poker,PS2,Misc,Play It,1.29,0.19,0.0,0.15,1.63,2,13
11135,World Championship Poker 2: Featuring Howard Lederer,PS2,Misc,Oxygen Interactive,0.35,0.15,0.0,0.05,0.5700000000000001,1,17
11136,World Championship Poker featuring Howard Lederer: All In,Wii,Misc,505 Games,0.02,0.0,0.0,0.0,0.02,0,143
11137,World Championship Poker: Deluxe Series,DS,Misc,505 Games,0.07,0.0,0.0,0.01,0.08,0,143
11138,World Championship Poker: Featuring Howard Lederer - All In,PS2,Misc,Oxygen Interactive,0.86,0.64,0.0,0.22,1.73,2,17
11139,World Championship Poker: Howard Lederer - All In,PSP,Misc,505 Games,0.13,0.0,0.0,0.01,0.14,0,143
11140,World Championship Pool 2004,PS2,Sports,Jaleco,0.05,0.03,0.0,0.01,0.09,0,19
11141,World Championship Rugby,PS2,Sports,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11,0,114
11142,World Championship Spelling,DS,Misc,505 Games,0.04,0.0,0.0,0.0,0.04,0,143
11143,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,Sports,Misawa,0.0,0.0,0.02,0.0,0.02,0,2
11144,World Class Track Meet,NES,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08,2,765
11145,World Cup '98 France: Road to Win,SAT,Sports,Sega,0.0,0.0,0.09,0.0,0.09,0,469
11146,World Cup 98,N64,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58,0,598
11147,World Cup Golf: Professional Edition,PS,Sports,U.S. Gold,0.07,0.05,0.0,0.01,0.13,0,4
11148,World Cup of Pool,DS,Sports,Midas Interactive Entertainment,0.06,0.0,0.0,0.0,0.06,0,22
